mal_id,title,type,source,episodes,status,airing,aired_from,aired_to,duration,rating,score,scored_by,rank,popularity,members,favorites,season,year,studios,producers,licensors,genres,themes,demographics,synopsis
6,Trigun,TV,Manga,26,Finished Airing,False,1998-04-01,1998-09-30,24 min per ep,PG-13 - Teens 13 or older,8.22,400979,420,265,832801,17610,spring,1998,Madhouse,Victor Entertainment|Arts Pro,Funimation,Action|Adventure|Sci-Fi,Adult Cast,Shounen,"Vash the Stampede is the man with a $$60,000,000,000 bounty on his head. The reason: he's a merciless villain who lays waste to all those that oppose him and flattens entire cities for fun, garnering him the title ""The Humanoid Typhoon."" He leaves a trail of death and destruction wherever he goes, and anyone can count themselves dead if they so much as make eye contact—or so the rumors say. In actuality, Vash is a huge softie who claims to have never taken a life and avoids violence at all costs.

With his crazy doughnut obsession and buffoonish attitude in tow, Vash traverses the wasteland of the planet Gunsmoke, all the while followed by two insurance agents, Meryl Stryfe and Milly Thompson, who attempt to minimize his impact on the public. But soon, their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking "
15,Eyeshield 21,TV,Manga,145,Finished Airing,False,2005-04-06,2008-03-19,23 min per ep,PG-13 - Teens 13 or older,7.92,93613,872,1419,195854,2124,spring,2005,Gallop,TV Tokyo|Nihon Ad Systems|TV Tokyo Music|Shueisha,VIZ Media|Sentai Filmworks,Sports,Team Sports,Shounen,"Shy, reserved, and small-statured, Deimon High School student Sena Kobayakawa is the perfect target for bullies. However, as a result of running errands throughout his life, Sena has become agile and developed a skill for avoiding crowds of people. After the cunning Youichi Hiruma—captain of the Deimon Devil Bats football team—witnesses Sena's rapid legs in motion, he coerces the timid boy into joining his squad.

As Hiruma wants to conceal Sena's identity from other clubs, Sena is forced to hide under the visored helmet of ""Eyeshield 21,"" a mysterious running back wearing the number 21 jersey. The legendary Eyeshield 21 can supposedly run at the speed of light and has achieved remarkable feats in the United States during his time at the Notre Dame College.

Accustomed to avoiding his problems in the past, Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates, Sena gradually gains more self-confidence and forges v"
16,Hachimitsu to Clover,TV,Manga,24,Finished Airing,False,2005-04-15,2005-09-27,23 min per ep,PG-13 - Teens 13 or older,7.98,87205,774,984,285204,4207,spring,2005,J.C.Staff,Dentsu|Genco|Fuji TV|Asmik Ace|Shueisha,VIZ Media|Discotek Media,Comedy|Drama|Romance,Adult Cast|Love Polygon|Visual Arts,Josei,"Yuuta Takemoto, a sophomore at an arts college, shares a cheap apartment with two seniors—the eccentric Shinobu Morita, who keeps failing to graduate due to his absenteeism, and the sensible Takumi Mayama, who acts as a proper senior to Takemoto, often looking out for him.

Takemoto had not given much thought to his future until one fine spring day, when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts, Hagumi enrolls in Takemoto's university and soon befriends the popular pottery student Ayumi Yamada. Ayumi is already well acquainted with the three flatmates and secretly harbors deep feelings for one of them.

Hachimitsu to Clover is a heartwarming tale of youth, love, soul-searching, and self-discovery, intricately woven through the complex relationships between five dear friends.

[Written by MAL Rewrite]"
18,Initial D Fourth Stage,TV,Manga,24,Finished Airing,False,2004-04-17,2006-02-18,27 min per ep,PG-13 - Teens 13 or older,8.18,119469,477,1300,214740,1434,spring,2004,A.C.G.T.,OB Planning,Funimation,Action|Drama,Racing,Seinen,"Takumi Fujiwara finally joins Ryousuke and Keisuke Takahashi to create ""Project D."" Their goal is twofold: Ryousuke wants to develop his ""High-Speed Street Racing Theory,"" while Keisuke and Takumi aim at improving their driving skills by facing powerful opponents on dangerous roads. The idea of Project D is to challenge street racing teams from other prefectures to improve both their uphill and downhill records. In order to attract the attention of the best racing teams, Ryousuke creates a dedicated website to announce the future battles of Project D and post the team's results.

The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture.

[Written by MAL Rewrite]"
19,Monster,TV,Manga,74,Finished Airing,False,2004-04-07,2005-09-28,24 min per ep,R+ - Mild Nudity,8.89,509857,26,117,1323745,61859,spring,2004,Madhouse,VAP|Nippon Television Network|Arts Pro,VIZ Media|Discotek Media,Drama|Mystery|Suspense,Adult Cast|Psychological,Seinen,"Dr. Kenzou Tenma, an elite neurosurgeon recently engaged to his hospital director's daughter, is well on his way to ascending the hospital hierarchy. That is until one night, a seemingly small event changes Dr. Tenma's life forever. While preparing to perform surgery on someone, he gets a call from the hospital director telling him to switch patients and instead perform life-saving brain surgery on a famous performer. His fellow doctors, fiancée, and the hospital director applaud his accomplishment; but because of the switch, a poor immigrant worker is dead, causing Dr. Tenma to have a crisis of conscience.

So when a similar situation arises, Dr. Tenma stands his ground and chooses to perform surgery on the young boy Johan Liebert instead of the town's mayor. Unfortunately, this choice leads to serious ramifications for Dr. Tenma—losing his social standing being one of them. However, with the mysterious death of the director and two other doctors, Dr. Tenma's position is restored. Wit"
20,Naruto,TV,Manga,220,Finished Airing,False,2002-10-03,2007-02-08,23 min per ep,PG-13 - Teens 13 or older,8.02,2137881,721,9,3109995,86297,fall,2002,Studio Pierrot,TV Tokyo|Aniplex,VIZ Media,Action|Adventure|Fantasy,Martial Arts,Shounen,"Twelve years ago, a colossal demon fox terrorized the world. During the monster's attack on the Hidden Leaf Village, the Hokage—the village's leader and most powerful ninja—sacrifices himself to seal the beast inside a newborn, relieving civilization from destruction while dooming the baby to a lonely life.

Now, after years of being shunned and bullied, Naruto Uzumaki pesters the village with elaborate pranks and vandalism. Despite these antics, he works hard to achieve his dream: to become the Hokage and earn the acknowledgement of those who have mistreated him for his entire life. Naruto joins Team 7, a ninja squad made up of two of his peers—prodigy Sasuke Uchiha and clever Sakura Haruno.

Under the aloof Kakashi Hatake's leadership, Team 7 takes on a series of difficult missions, forcing its members to grow in strength and comradery despite their many differences. Naruto strives to stand out in his rivalry with Sasuke and earn the romantic affection of Sakura. But as the trio brus"
22,Tennis no Oujisama,TV,Manga,178,Finished Airing,False,2001-10-10,2005-03-23,22 min per ep,PG-13 - Teens 13 or older,7.85,88803,1045,1407,197616,3073,fall,2001,Trans Arts,Production I.G|TV Tokyo|Nihon Ad Systems,Funimation|VIZ Media,Sports,School,Shounen,"At the request of his father, tennis prodigy Ryouma Echizen has returned from America and is ready to take the Japanese tennis scene by storm. Aiming to become the best tennis player in the country, he enrolls in Seishun Academy—home to one of the best middle school tennis teams in Japan. 

After Ryouma catches the captain's eye, he finds himself playing for a spot on the starting lineup in the intra-school ranking matches despite only being a freshman. Due to his age, the rest of the Seishun Boys' Tennis Team are initially reluctant to accept him, but his skill and determination convinces them to let him in.

Armed with their new ""super rookie,"" Seishun sets out to claim a spot in the National Tournament, hoping to take the coveted title for themselves. In order to do so, the team must qualify by playing through the Tokyo Prefectural and Kanto Regionals. Yet, the road ahead of them is shared by a plethora of strong schools, each playing tennis in unique ways for their own reasons. Ryo"
24,School Rumble,TV,Manga,26,Finished Airing,False,2004-10-05,2005-03-29,23 min per ep,PG-13 - Teens 13 or older,7.89,154914,960,803,344854,5406,fall,2004,Studio Comet,TV Tokyo|Sotsu|Marvelous Entertainment|Starchild Records|Media Factory|DAX Production,Funimation,Comedy|Romance,Gag Humor|Love Polygon|School,Shounen,"Just the words ""I love you,"" and everything changes—such is the nature of the bittersweet trials of high school romance. Tenma Tsukamoto, a second year, is on a quest to confess her feelings to the boy she likes. Kenji Harima, a delinquent with a sizable reputation, is in a similar situation, as he cannot properly convey his feelings to the one he loves. Between school, friends, rivalries, and hobbies, these two will find that high school romance is no walk in the park, especially as misunderstandings further complicate their plight.

School Rumble is a high-octane romantic comedy full of relatable situations, as Tenma and Kenji both try to win the hearts of those they desire.

[Written by MAL Rewrite]"
29,Zipang,TV,Manga,26,Finished Airing,False,2004-10-08,2005-04-01,24 min per ep,PG-13 - Teens 13 or older,7.54,8657,2039,5020,25405,207,fall,2004,Studio Deen,Marvelous Entertainment|Animax|Pony Canyon|TBS,Geneon Entertainment USA,Action|Drama|Sci-Fi,Adult Cast|Historical|Military|Time Travel,Seinen,"A Ripple in Time Turns the Crucial Tide of WWII.

Scheduled for routine military exercises, Commander Kadomatsu and the crew of Japan's newest and most modern Battlecruiser, The Mirai, are ready to test out the ship's state-of-the-art Aegis System. Instead, they find themselves transported back to June 4th, 1942—date of the crucial Battle of Midway, where the Japanese fleet was dealt a crippling blow. When an overzealous Kadomatsu rescues one of the battle's victims, Kusaka, from a sinking zero fighter, the Mirai's fate is sealed. The crew pledges not to do anything to alter the past further. However, they're now forced to fight a U.S. submarine in a battle that should never have occurred. Thus setting off a chain of events that may forever change the flow of history!

(Source: Geneon Entertainment USA, edited)"
33,Kenpuu Denki Berserk,TV,Manga,25,Finished Airing,False,1997-10-08,1998-04-01,23 min per ep,R+ - Mild Nudity,8.61,412257,110,304,764466,31578,fall,1997,OLM,VAP|Hakusensha|Nippon Television Network,Media Blasters|Discotek Media,Action|Adventure|Drama|Fantasy|Horror,Gore|Military|Psychological,Seinen,"Guts, a man who will one day be known as the Black Swordsman, is a young traveling mercenary characterized by the large greatsword he carries. He accepts jobs that offer the most money, but he never stays with one group for long—until he encounters the Band of the Falcon. Ambushed after completing a job, Guts crushes many of its members in combat. Griffith, The Band of the Falcon's leader and founder, takes an interest in Guts and duels him. While the others are no match for Guts, Griffith defeats him in one blow.

Incapacitated and taken into the Band of the Falcon's camp to recover, Guts wakes up two days later. He confronts Griffith, and the two duel yet again, only this time with a condition: Guts will join the Band of the Falcon if he loses. Due to his fresh injuries, Guts loses the fight and is inducted by Griffith.

In three years' time, Guts has become one of the Band of the Falcon's commanders. On the battlefield, his combat prowess is second only to Griffith as he takes on la"
